instrument,stage,domain_code,domain,study_id,rating
BRAIA-VS,,6,Performance Evaluation,374,High
BRAIA-VS,,6,Performance Evaluation,266,High
BRAIA-VS,,7,"Governance, Fairness & Safety",28,High
BRAIA-VS,,7,"Governance, Fairness & Safety",36,High
BRAIA-VS,,7,"Governance, Fairness & Safety",43,High
BRAIA-VS,,7,"Governance, Fairness & Safety",55,High
BRAIA-VS,,7,"Governance, Fairness & Safety",75,High
BRAIA-VS,,7,"Governance, Fairness & Safety",147,High
BRAIA-VS,,7,"Governance, Fairness & Safety",189,High
BRAIA-VS,,7,"Governance, Fairness & Safety",205,High
BRAIA-VS,,7,"Governance, Fairness & Safety",253,High
BRAIA-VS,,7,"Governance, Fairness & Safety",278,High
BRAIA-VS,,7,"Governance, Fairness & Safety",298,High
BRAIA-VS,,7,"Governance, Fairness & Safety",305,High
BRAIA-VS,,7,"Governance, Fairness & Safety",330,High
BRAIA-VS,,7,"Governance, Fairness & Safety",401,High
BRAIA-VS,,7,"Governance, Fairness & Safety",61,High
BRAIA-VS,,7,"Governance, Fairness & Safety",495,High
BRAIA-VS,,7,"Governance, Fairness & Safety",475,High
BRAIA-VS,,7,"Governance, Fairness & Safety",460,High
BRAIA-VS,,7,"Governance, Fairness & Safety",459,High
BRAIA-VS,,7,"Governance, Fairness & Safety",455,High
BRAIA-VS,,7,"Governance, Fairness & Safety",447,High
BRAIA-VS,,7,"Governance, Fairness & Safety",445,High
BRAIA-VS,,7,"Governance, Fairness & Safety",486,High
BRAIA-VS,,7,"Governance, Fairness & Safety",382,High
BRAIA-VS,,7,"Governance, Fairness & Safety",374,High
BRAIA-VS,,7,"Governance, Fairness & Safety",266,High
